text,retweet_count,favorite_count,month,year
"For the Democrats to interview in open hearings a convicted liar &amp; fraudster, at the same time as the very important Nuclear Summit with North Korea, is perhaps a new low in American politics and may have contributed to the “walk.” Never done when a president is overseas. Shame!",24297,97965,3,2019
"....President. We are WINNING big, the envy of the WORLD, but just think what it could be?",21417,114977,3,2019
"Presidential Harassment by “crazed” Democrats at the highest level in the history of our Country. Likewise, the most vicious and corrupt Mainstream Media that any president has ever had to endure - Yet the most successful first two years for any",24774,101051,3,2019
"The reason I do not want military drills with South Korea is to save hundreds of millions of dollars for the U.S. for which we are not reimbursed. That was my position long before I became President. Also, reducing tensions with North Korea at this time is a good thing!",24228,118663,3,2019
"My wonderful daughter, Ivanka, will be interviewed tonight by Steve Hilton on “The Next Revolution.” @FoxNews 9:00 P.M. She works so hard and has achieved so much for the U.S.A.(and gets so little credit!). Then watch Mark Levin at 10:00 P.M., a great show!",17496,89149,3,2019
"“Look how they’re acting now and how we act when we’re in the majority. What the Democrats are doing is an abuse of power. They couldn’t find anything...they took a Fake Dossier &amp; couldn’t find any Collusion. Now they have a fake witness in Cohen.” Congressman Mark Green, (R-TN).",21540,88423,3,2019
"After more than two years of Presidential Harassment, the only things that have been proven is that Democrats and other broke the law. The hostile Cohen testimony, given by a liar to reduce his prison time, proved no Collusion! His just written book manuscript showed what he.....",20846,88182,3,2019
"...said was a total lie, but Fake Media won’t show it. I am an innocent man being persecuted by some very bad, conflicted &amp; corrupt people in a Witch Hunt that is illegal &amp; should never have been allowed to start - And only because I won the Election! Despite this, great success!",26612,123319,3,2019
https://t.co/PTLqvZNwqY,19297,72093,3,2019
We’ve got NASA “rocking” again. Great activity and success. Congrats to SPACEX and all!,24583,169551,3,2019
The brand new manuscript for a new book by failed lawyer Michael Cohen shows his testimony was a total lie! Pundits should only use it.,15367,74877,3,2019
Virtually everything failed lawyer Michael Cohen said in his sworn testimony last week is totally contradicted in his just released manuscript for a book about me. It’s a total new love letter to “Trump” and the pols must now use it rather than his lies for sentence reduction!,21423,101588,3,2019
"Thank you @marklevinshow!
https://t.co/dwQR11genG",21274,80583,3,2019
"@TeamCavuto  It was a 3 day train ride to Vietnam, not 3 hours!",1971,6899,3,2019
RT @realDonaldTrump: 93% Approval Rating in the Republican Party. 52% Approval Rating overall! Not bad considering I get the most unfair (B…,37886,0,3,2019
RT @realDonaldTrump: I hope our great Republican Senators don’t get led down the path of weak and ineffective Border Security. Without stro…,29781,0,3,2019
RT @realDonaldTrump: Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)…,26202,0,3,2019
"RT @dcexaminer: Pence says President Trump has ""no higher priority than the safety of the American people."" #CPAC2019 https://t.co/fmBGjTBC…",8650,0,3,2019
"RT @TeamTrump: Get your OFFICIAL campaign merchandise @ https://t.co/avCW7TGIn1 or, if you’re at @CPAC, check out our Official booth!” #Tea…",5437,0,3,2019
"Will be speaking at CPAC at 11:30 this morning. Record crowd, live broadcast. Enjoy!",13702,75778,3,2019
"Very proud of perhaps the greatest golf course anywhere in the world. Also, furthers U.K. relationship! https://t.co/3xTzzJH6Iq",11054,60625,3,2019
"I have asked China to immediately remove all Tariffs on our agricultural products (including beef, pork, etc.) based on the fact that we are moving along nicely with Trade discussions....",23067,123713,3,2019
....and I did not increase their second traunch of Tariffs to 25% on March 1st. This is very important for our great farmers - and me!,18165,104688,3,2019
"....for Otto’s mistreatment and death. Most important, Otto Warmbier will not have died in vain. Otto and his family have become a tremendous symbol of strong passion and strength, which will last for many years into the future. I love Otto and think of him often!",20585,107916,3,2019
"I never like being misinterpreted, but especially when it comes to Otto Warmbier and his great family. Remember, I got Otto out along with three others. The previous Administration did nothing, and he was taken on their watch. Of course I hold North Korea responsible....",25398,123235,3,2019
"Michael Cohen’s book manuscript shows that he committed perjury on a scale not seen before. He must have forgotten about his book when he testified. What does Hillary Clinton’s lawyer, Lanny Davis, say about this one. Is he being paid by Crooked Hillary. Using her lawyer?",23642,95142,3,2019
"...and the fraudulent and dishonest statements he made on Wednesday. No way, it’s time to stop this corrupt and illegally brought Witch Hunt. Time to start looking at the other side where real crimes were committed. Republicans have been abused long enough. Must end now!",29612,122249,3,2019
"Oh’ I see! Now that the 2 year Russian Collusion case has fallen apart, there was no Collusion except bye Crooked Hillary and the Democrats, they say, “gee, I have an idea, let’s look at Trump’s finances and every deal he has ever done. Let’s follow discredited Michael Cohen.....",30590,125420,3,2019
"Congress must demand the transcript of Michael Cohen’s new book, given to publishers a short time ago. Your heads will spin when you see the lies, misrepresentations and contradictions  against his Thursday testimony. Like a different person! He is totally discredited!",21177,84170,3,2019
"Wow, just revealed that Michael Cohen wrote a “love letter to Trump” manuscript for a new book that he was pushing. Written and submitted long after Charlottesville and Helsinki, his phony reasons for going rogue. Book is exact opposite of his fake testimony, which now is a lie!",19470,82393,3,2019
"Great to be back from Vietnam, an amazing place. We had very substantive negotiations with Kim Jong Un - we know what they want and they know what we must have. Relationship very good, let’s see what happens!",18319,92937,3,2019
"Today in Alaska, it was my great honor to visit with our brave men and women of the United States Military at Joint Base Elmendorf-Richardson. We are forever grateful for their service and sacrifice. THANK YOU! https://t.co/4REVxKUsHT",18756,93071,3,2019
https://t.co/ywNk8EhOh0,11000,52452,3,2019
https://t.co/hUK9dSBM3M,11157,52331,3,2019
I will be interviewed by @seanhannity at 9:00 P.M. on @FoxNews. Enjoy!,10893,61879,3,2019
Everyone MUST watch the opening to @TuckerCarlson - A Classic! @foxnews,13551,74595,3,2019
"THANK YOU to our generous hosts in Hanoi this week: President Trong, Prime Minister Phuc, and the wonderful people of Vietnam! https://t.co/AMqF0dfRhP",27255,141417,2,2019
"RT @StateDept: President @realDonaldTrump and @SecPompeo participate in a Press Conference in Hanoi, Vietnam, on February 28, 2019. https:/…",12172,0,2,2019
RT @realDonaldTrump: Michael Cohen was one of many lawyers who represented me (unfortunately). He had other clients also. He was just disba…,32878,0,2,2019
"Great meeting and dinner with Kim Jong Un in Hanoi, Vietnam tonight. Looking forward to continuing our discussions tomorrow! #HanoiSummit https://t.co/J3x6lUGzjS",23375,100193,2,2019
Great meetings and dinner tonight in Vietnam with Kim Jong Un of North Korea. Very good dialogue. Resuming tomorrow!,22872,129034,2,2019
RT @WhiteHouse: https://t.co/Wo4C4hsP43,12237,0,2,2019
RT @WhiteHouse: https://t.co/t6egb4Neir,9739,0,2,2019
"All false reporting (guessing) on my intentions with respect to North Korea. Kim Jong Un and I will try very hard to work something out on Denuclearization &amp; then making North Korea an Economic Powerhouse. I believe that China, Russia, Japan &amp; South Korea will be very helpful!",22822,102320,2,2019
"Fiat Chrysler will be adding more than 6,500 JOBS in Michigan (Detroit area), doubling its hourly workforce as part of a 4.5 Billion Dollar investment. Thank you Fiat Chrysler. They are all coming back to the USA, it’s where the action is!",26707,123442,2,2019
Michael Cohen was one of many lawyers who represented me (unfortunately). He had other clients also. He was just disbarred by the State Supreme Court for lying &amp; fraud. He did bad things unrelated to Trump. He is lying in order to reduce his prison time. Using Crooked’s lawyer!,32876,133251,2,2019
"I have now spent more time in Vietnam than Da Nang Dick Blumenthal, the third rate Senator from Connecticut (how is Connecticut doing?). His war stories of his heroism in Vietnam were a total fraud - he was never even there. We talked about it today with Vietnamese leaders!",38710,161425,2,2019
RT @IvankaTrump: No I did not. I support a minimum wage. I do not however believe in a minimum guarantee for people “unwilling to work” whi…,19791,0,2,2019
RT @realDonaldTrump: Senate Democrats just voted against legislation to prevent the killing of newborn infant children. The Democrat positi…,66161,0,2,2019
RT @realDonaldTrump: ....This will be remembered as one of the most shocking votes in the history of Congress. If there is one thing we sho…,53455,0,2,2019
The Democrats should stop talking about what I should do with North Korea and ask themselves instead why they didn’t do “it” during eight years of the Obama Administration?,42692,189691,2,2019
"Vietnam is thriving like few places on earth. North Korea would be the same, and very quickly, if it would denuclearize. The potential is AWESOME, a great opportunity, like almost none other in history, for my friend Kim Jong Un. We will know fairly soon - Very Interesting!",22716,108716,2,2019
"Just arrived in Vietnam. Thank you to all of the people for the great reception in Hanoi. Tremendous crowds, and so much love!",27335,171114,2,2019
"....This will be remembered as one of the most shocking votes in the history of Congress. If there is one thing we should all agree on, it’s protecting the lives of innocent babies.",53459,206222,2,2019
Senate Democrats just voted against legislation to prevent the killing of newborn infant children. The Democrat position on abortion is now so extreme that they don’t mind executing babies AFTER birth....,66176,204023,2,2019
"If a deal is made with China, our great American Farmers will be treated better than they have ever been treated before!",21743,112352,2,2019
Heading over to Vietnam for my meeting with Kim Jong Un. Looking forward to a very productive Summit!,18877,109575,2,2019
China Trade Deal (and more) in advanced stages. Relationship between our two Countries is very strong. I have therefore agreed to delay U.S. tariff hikes. Let’s see what happens?,16168,80147,2,2019
"...our foreign partners. Recovering American hostages is a priority of my Admin, and with Danny’s release, we have now secured freedom for 20 American captives since my election victory. We will not rest as we continue our work to bring the remaining American hostages back home!",17712,97114,2,2019
"...Danny’s recovery reflects the best of what the United States &amp; its partners can accomplish.
We work every day to bring Americans home. We maintain constant and intensive diplomatic, intelligence, and law enforcement cooperation within the United States Government and with...",14845,87824,2,2019
"It is my honor today to announce that Danny Burch, a United States citizen who has been held hostage in Yemen for 18 months, has been recovered and reunited with his wife and children. I appreciate the support of the United Arab Emirates in bringing Danny home...",31876,156631,2,2019
"Congratulations to @DJohnsonPGA on his 20th PGA Tour WIN. Not only is Dustin a truly great golfer, he is a wonderful guy. Big year ahead for Dustin!",9461,66777,2,2019
Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)s as they continue to grow. We are bringing back America faster than anyone thought possible!,26202,121295,2,2019
“Why on earth would any Republican vote not to put up a Wall or against Border Security. Please explain that to me?” @Varneyco,22807,107920,2,2019
"I hope our great Republican Senators don’t get led down the path of weak and ineffective Border Security. Without strong Borders, we don’t have a Country - and the voters are on board with us. Be strong and smart, don’t fall into the Democrats “trap” of Open Borders and Crime!",29784,120228,2,2019
"Former Senator Harry Reid (he got thrown out) is working hard to put a good spin on his failed career. He led through lies and deception, only to be replaced by another beauty, Cryin’ Chuck Schumer. Some things just never change!",23807,103077,2,2019
"Meeting for breakfast with our Nation’s Governors - then off to Vietnam for a very important Summit with Kim Jong Un. With complete Denuclearization, North Korea will rapidly become an Economic Powerhouse. Without it, just more of the same. Chairman Kim will make a wise decision!",16164,77278,2,2019
"RT @realDonaldTrump: So funny to watch people who have failed for years, they got NOTHING, telling me how to negotiate with North Korea. Bu…",36296,0,2,2019
RT @IvankaTrump: This Admin is committed to ensuring more Americans have the skills needed to secure better jobs in our strong economy.  I…,7407,0,2,2019
"Oil prices getting too high. OPEC, please relax and take it easy. World cannot take a price hike - fragile!",18165,87842,2,2019
"Be nice if Spike Lee could read his notes, or better yet not have to use notes at all, when doing his racist hit on your President, who has done more for African Americans (Criminal Justice Reform, Lowest Unemployment numbers in History, Tax Cuts,etc.) than almost any other Pres!",31754,156483,2,2019
"RT @realDonaldTrump: Highly respected Senator Richard Burr, head of Senate Intelligence, said, after interviewing over 200 witnesses and st…",35053,0,2,2019
"We have a State of Emergency at our Southern Border. Border Patrol, our Military and local Law Enforcement are doing a great job, but without the Wall, which is now under major construction, you cannot have Border Security. Drugs, Gangs and Human Trafficking must be stopped!",20036,92859,2,2019
"....productive talks, I will be delaying the U.S. increase in tariffs now scheduled for March 1. Assuming both sides make additional progress, we will be planning a Summit for President Xi and myself, at Mar-a-Lago, to conclude an agreement. A very good weekend for U.S. &amp; China!",22255,107004,2,2019
"I am pleased to report that the U.S. has made substantial progress in our trade talks with China on important structural issues including intellectual property protection, technology transfer, agriculture, services, currency, and many other issues. As a result of these very......",22637,111157,2,2019
"So funny to watch people who have failed for years, they got NOTHING, telling me how to negotiate with North Korea. But thanks anyway!",36298,163565,2,2019
"The only Collusion with the Russians was with Crooked Hillary Clinton and the Democratic National Committee...And, where’s the Server that the DNC refused to give to the FBI?  Where are the new Texts between Agent Lisa Page and her Agent lover, Peter S? We want them now!",35271,136379,2,2019
93% Approval Rating in the Republican Party. 52% Approval Rating overall! Not bad considering I get the most unfair (BAD) press in the history of presidential politics! And don’t forget the Witch Hunt!,37772,176104,2,2019
"Poll: Suburban women are coming back into the Republican Party in droves “because of the Wall and Border Security. 70% support Border Security and the Wall.” Not believing the Walls are immoral line. Beverly Hallberg, Independent Women’s Forum @KatiePavlich  A great USA issue!",24573,111414,2,2019
"Chairman Kim realizes, perhaps better than anyone else, that without nuclear weapons, his country could fast become one of the great economic powers anywhere in the World. Because of its location and people (and him), it has more potential for rapid growth than any other nation!",17051,77632,2,2019
President Xi of China has been very helpful in his support of my meeting with Kim Jong Un. The last thing China wants are large scale nuclear weapons right next door. Sanctions placed on the border by China and Russia have been very helpful. Great relationship with Chairman Kim!,16967,83966,2,2019
"Very productive talks yesterday with China on Trade. Will continue today! I will be leaving for Hanoi, Vietnam, early tomorrow for a Summit with Kim Jong Un of North Korea, where we both expect a continuation of the progress made at first Summit in Singapore. Denuclearization?",18753,93163,2,2019
"HOLD THE DATE! We will be having one of the biggest gatherings in the history of Washington, D.C., on July 4th. It will be called “A Salute To America” and will be held at the Lincoln Memorial. Major fireworks display, entertainment and an address by your favorite President, me!",45594,203838,2,2019
RT @seanhannity: **REPORT: “China is proposing that it could buy an additional $30 billion a year of U.S. agricultural products including s…,12059,0,2,2019
"RT @CortesSteve: Was wonderful to meet so many inspiring young patriots last night when I spoke to the ⁦@TPUSA⁩ Latino conference! 

⁦@char…",6231,0,2,2019
"RT @TomFitton: MASSIVE @JudicialWatch Update:  Lawsuit to Expose Coup Against @RealDonaldTrump, Another FBI Cover-up of potential Clinton e…",12595,0,2,2019
RT @PressSec: President @realDonaldTrump delivers more great news for our farmers. https://t.co/ACq0ujTFTS,16413,0,2,2019
"RT @GOPChairwoman: Drug trafficking at our southern border has exploded.

CBP seized nearly 5X as much methamphetamine in 2018 than it did…",13554,0,2,2019
RT @LouDobbs: #AmericaFirst –@CLewandowski_ :The media doesn’t want to give @realDonaldTrump the credit for once again exerting American do…,10781,0,2,2019
So great being with you both in the Oval Office! https://t.co/9VoIV3NahE,24692,121091,2,2019
"RT @GOPChairwoman: Thank you @RonaldWeiser for serving the @MIGOP well and congratulations to my friend and new @MIGOPChair Laura Cox! 
 
I…",5478,0,2,2019
"“There’s not one shred of evidence that this president’s done anything Constitutionally (or anything else) wrong.” Graham Ledger.  Thank you Graham, so true!",27648,133548,2,2019
"The people of Venezuela stand at the threshold of history, ready to reclaim their country – and their future.... https://t.co/ajxd1EN64c",33159,107245,2,2019
"RT @USMC: 74 years ago today, Marines on Iwo Jima raised the flag atop Mount Suribachi.

Semper Fidelis. https://t.co/UsQ2z344Xp",30241,0,2,2019
"There is far more ENERGY on the Right than there is on the Left. That’s why we just won the Senate and why we will win big in 2020. The Fake News just doesn’t want to report the facts. Border Security is a big factor. The under construction Wall will stop Gangs, Drugs and Crime!",28223,121951,2,2019
God Bless the people of Venezuela!,60097,205991,2,2019
"Great new book: “The Case For Trump” by Victor Davis Hanson, Hoover Senior Fellow.",15346,73228,2,2019
"I am pleased to announce that Kelly Knight Craft, our current Ambassador to Canada, is being nominated to be United States Ambassador to the United Nations....",20711,119379,2,2019
"....Kelly has done an outstanding job representing our Nation and I have no doubt that, under her leadership, our Country will be represented at the highest level. Congratulations to Kelly and her entire family!",14927,93278,2,2019
"RT @SecretarySonny: BREAKING: In Oval Office meeting today, the Chinese committed to buy an additional 10 million metric tons of U.S. soybe…",23805,0,2,2019
A must read by @KimStrassel! https://t.co/Gfyrfpy55b,21033,69437,2,2019
Fake News is so bad for our Country! https://t.co/ZwA8E0URer,24446,93087,2,2019
"Highly respected Senator Richard Burr, head of Senate Intelligence, said, after interviewing over 200 witnesses and studying over 2 million pages of documents, “WE HAVE FOUND NO COLLUSION BETWEEN THE TRUMP CAMPAIGN AND RUSSIA.” The Witch Hunt, so bad for our Country, must end!",35082,146467,2,2019
RT @FLOTUS: Wonderful evening at @WhiteHouse celebrating #AfricanAmericanHistoryMonth! https://t.co/ZBJop8kxTY,20926,0,2,2019
"We are here to honor the extraordinary contributions of African-Americans to every aspect of American Life, History and Culture. From the earliest days of this Nation, African-American Leaders, Pioneers, &amp; Visionaries have uplifted &amp; inspired our Country...https://t.co/VuFLkfd12j",31511,120566,2,2019
"Senator John Cornyn has done an outstanding job for the people of Texas. He is strong on Crime, the Border, the Second Amendment and loves our Military and Vets. John has my complete and total endorsement. MAKE AMERICA GREAT AGAIN!",21199,101172,2,2019
.@JussieSmollett - what about MAGA and the tens of millions of people you insulted with your racist and dangerous comments!? #MAGA,56531,223268,2,2019
THE WALL IS UNDER CONSTRUCTION RIGHT NOW! https://t.co/exUJCiITsz,31735,134416,2,2019
"....something that is so obviously the future. I want the United States to win through competition, not by blocking out currently more advanced technologies. We must always be the leader in everything we do, especially when it comes to the very exciting world of technology!",23493,126004,2,2019
"I want 5G, and even 6G, technology in the United States as soon as possible. It is far more powerful, faster, and smarter than the current standard. American companies must step up their efforts, or get left behind. There is no reason that we should be lagging behind on.........",28695,143863,2,2019
"I have instructed Secretary of State Mike Pompeo, and he fully agrees, not to allow Hoda Muthana back into the Country!",40904,203377,2,2019
"We have just built this powerful Wall in New Mexico. Completed on January 30, 2019 – 47 days ahead of schedule! Many miles more now under construction! #FinishTheWall https://t.co/TYkj3KRdOC",51345,196850,2,2019
California now wants to scale back their already failed “fast train” project by substantially shortening the distance so that it no longer goes from L.A. to San Francisco. A different deal and record cost overruns. Send the Federal Government back the Billions of Dollars WASTED!,28526,131526,2,2019
The New York Times reporting is false. They are a true ENEMY OF THE PEOPLE!,27422,115411,2,2019
"“If thinking that James Comey is not a good FBI Director is tantamount to being an agent of Russia, than just list all the people that are agents of Russia - Chuck Schumer, Nancy Pelosi, Rod Rosenstein who wrote the memo to get rid of Comey, the Inspector General....” Trey Gowdy",25381,96500,2,2019
“The Washington Post ignored basic journalistic standards because it wanted to advance its well-known and easily documented biased agenda against President Donald J. Trump.” Covington student suing WAPO. Go get them Nick. Fake News!,30221,124854,2,2019
"The Press has never been more dishonest than it is today. Stories are written that have absolutely no basis in fact. The writers don’t even call asking for verification. They are totally out of control. Sadly, I kept many of them in business. In six years, they all go BUST!",32394,144517,2,2019
Crazy Bernie has just entered the race. I wish him well!,27640,167025,2,2019
“Andrew McCabe gave absolutely no evidence of any threat to substantiate his ABSURD claim.” @LouDobbs,16006,73312,2,2019
RT @GeraldoRivera: This is crazy scary. A cabal of unelected bureaucrats-angered &amp; upset that @realDonaldTrump fired their boss-whispered a…,19882,0,2,2019
https://t.co/xRbxknI4Nf,27076,89912,2,2019
I never said anything bad about Andrew McCabe’s wife other than she (they) should not have taken large amounts of campaign money from a Crooked Hillary source when Clinton was under investigation by the FBI. I never called his wife a loser to him (another McCabe made up lie)!,25963,116520,2,2019
"The Washington Post is a Fact Checker only for the Democrats. For the Republicans, and for your all time favorite President, it is a Fake Fact Checker!",26000,122214,2,2019
"The failed Fast Train project in California, where the cost overruns are becoming world record setting, is hundreds of times more expensive than the desperately needed Wall!",25060,113053,2,2019
"As I predicted, 16 states, led mostly by Open Border Democrats and the Radical Left, have filed a lawsuit in, of course, the 9th Circuit! California, the state that has wasted billions of dollars on their out of control Fast Train, with no hope of completion, seems in charge!",22306,92786,2,2019
"The failed Fast Train project in California, were the cost overruns are becoming world record setting, is hundreds of times more expensive than the desperately needed Wall!",6703,28162,2,2019
"As I predicted, 16 cities, led mostly by Open Border Democrats and the Radical Left, have filed a lawsuit in, of course, the 9th Circuit! California, the state that has wasted billions of dollars on their out of control Fast Train, with no hope of completion, seems in charge!",6521,25023,2,2019
"Had the opposition party (no, not the Media) won the election, the Stock Market would be down at least 10,000 points by now. We are heading up, up, up!",20301,103923,2,2019
"“....(The Witch Hunt) in time likely will become recognized as the greatest scandal in American political history, marking the first occasion in which the U.S. government bureaucrats sought to overturn an election (presidential)!” Victor Davis Hanson  And got caught! @FoxNews",22119,86604,2,2019
"Remember this, Andrew McCabe didn’t go to the bathroom without the approval of Leakin’ James Comey!",24487,103675,2,2019
RT @real_defender: @realDonaldTrump Our country is making unprecedented progress thanks to the fact that we finally have a president who is…,10375,0,2,2019
